City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
236,keflavik,64.0049,-22.5624,12.24,71,0,7.2,IS,1689613706
237,nema,57.5067,50.5011,19.21,74,59,2.77,RU,1689613908
238,ola,59.5833,151.2833,11.74,95,90,1.62,RU,1689613691
239,al kharijah,25.4514,30.5464,37.02,10,0,3.54,EG,1689613908
240,revda,56.801,59.9303,15.15,97,87,2.29,RU,1689613908
241,ulladulla,-35.35,150.4667,10.93,81,0,2.68,AU,1689613908
242,hincesti,46.8258,28.5936,32.76,34,0,1.83,MD,1689613909
243,savanna-la-mar,18.219,-78.1332,31.07,56,55,2.26,JM,1689613909
244,parun,35.4207,70.9221,17.77,58,8,2.7,AF,1689613909
245,callao,-12.0667,-77.15,24.84,60,75,3.09,PE,1689613909
246,saudarkrokur,65.7461,-19.6394,9.08,71,50,4.41,IS,1689613430
247,colonia,50.9333,6.95,25.32,46,0,6.17,DE,1689613597
248,susuman,62.7833,148.1667,13.98,60,94,0.84,RU,1689613910
249,essaouira,31.5125,-9.77,27.72,65,12,4.12,MA,1689613910
250,inhambane,-23.865,35.3833,19.07,64,17,2.58,MZ,1689613910
251,cabo san lucas,22.8909,-109.9124,36.61,58,40,5.14,MX,1689613441
252,afaahiti,-17.75,-149.2833,19.93,71,31,4.34,PF,1689613714
253,fort bragg,35.139,-79.006,33.28,60,0,1.54,US,1689613911
254,sarkisla,39.3519,36.4098,16.88,52,0,4.04,TR,1689613769
255,krasnogorskoye,52.2953,86.1979,14.82,85,7,1.18,RU,1689613911
256,kantunilkin,21.0917,-87.45,37.02,34,90,3.13,MX,1689613912
257,balabac,7.9868,117.0645,27.4,79,89,2.86,PH,1689613912
258,katsuren-haebaru,26.3369,127.8719,27.01,83,96,6.35,JP,1689613912
259,birobidzhan,48.8,132.95,15.4,97,26,0.52,RU,1689613912
260,kiruna,67.8557,20.2251,14.51,77,0,4.12,SE,1689613912
261,anadyr,64.75,177.4833,15.28,82,0,4.0,RU,1689613573
262,san miguel,13.4833,-88.1833,33.78,53,20,1.54,SV,1689613689
263,guiuan,11.0333,125.7247,28.71,76,100,4.52,PH,1689613381
264,paradip garh,20.3167,86.6167,28.18,83,39,3.73,IN,1689613913
265,nantucket,41.2835,-70.0995,29.08,94,75,3.6,US,1689613913
266,nainwa,25.7667,75.85,31.78,65,100,2.66,IN,1689613724
267,tutoia,-2.7619,-42.2744,29.18,63,3,5.44,BR,1689613899
268,douz,33.4663,9.0203,43.76,11,0,6.87,TN,1689613914
269,balqash,46.8481,74.995,26.41,35,60,0.66,KZ,1689613914
270,baden,47.9974,16.233,32.31,50,3,2.34,AT,1689613915
271,mumbwa,-14.9783,27.0619,17.03,37,0,2.41,ZM,1689613915
272,zuni pueblo,35.0725,-108.8506,33.35,10,81,2.25,US,1689613915
273,padang,-0.9492,100.3543,25.03,88,96,1.33,ID,1689613628
274,hancheng,32.5186,112.3522,24.37,71,12,0.33,CN,1689613915
275,bandar lampung,-5.4254,105.258,22.93,94,60,0.61,ID,1689613916
276,al qusayr,34.5091,36.5798,28.44,33,0,3.3,SY,1689613916
277,khalis,33.82,44.5264,38.82,10,0,5.11,IQ,1689613916
278,tura,25.5198,90.2201,23.76,97,40,1.09,IN,1689613743
279,takoradi,4.8845,-1.7554,25.31,86,81,6.2,GH,1689613916
280,tralee,52.2704,-9.7026,17.14,67,40,4.12,IE,1689613861
281,hauterive,46.0901,3.4459,27.42,42,18,2.33,FR,1689613917
282,kampong chhnang,12.1667,104.55,25.54,86,100,1.74,KH,1689613917
283,broken hill,-31.95,141.4333,10.44,58,4,3.23,AU,1689613917
284,nadym,65.5333,72.5167,16.78,78,100,8.47,RU,1689613918
285,birao,10.2849,22.7882,30.5,49,52,1.46,CF,1689613918
286,santa terezinha,-29.9002,-50.0904,13.65,59,0,6.11,BR,1689613918
287,itamaraca,-7.7478,-34.8256,28.03,67,9,5.56,BR,1689613918
288,charlottetown,46.2352,-63.1267,27.16,83,100,8.23,CA,1689613329
289,derbent,42.0678,48.2899,24.24,52,96,0.74,RU,1689613919
290,el calafate,-50.3408,-72.2768,-1.69,73,2,1.47,AR,1689613694
291,ochakiv,46.6128,31.5498,24.55,64,0,5.13,UA,1689613919
292,vadso,70.0744,29.7487,21.49,72,0,1.03,NO,1689613725
293,amparafaravola,-17.5833,48.2167,17.46,86,66,2.52,MG,1689613920
294,ylitornio,66.3089,23.6773,16.84,72,98,4.88,FI,1689613920
295,daru,-9.0763,143.2092,24.46,86,93,5.77,PG,1689613920
296,acajutla,13.5928,-89.8275,31.81,54,99,2.19,SV,1689613920
297,punta arenas,-53.15,-70.9167,4.06,77,75,3.09,CL,1689613571
298,isafjordur,66.0755,-23.124,10.02,76,40,4.12,IS,1689613596
299,guarapari,-20.6667,-40.4975,29.94,61,9,2.71,BR,1689613921
300,lubuklinggau,-3.3,102.8667,22.92,97,98,0.6,ID,1689613922
301,cassilandia,-19.1133,-51.7342,32.15,27,0,1.51,BR,1689613922
302,qujing,25.4833,103.7833,13.27,90,18,1.64,CN,1689613751
303,hithadhoo,-0.6,73.0833,28.2,71,100,1.45,MV,1689613722
304,tazovsky,67.4667,78.7,13.64,83,94,3.36,RU,1689613605
305,saint-joseph,-21.3667,55.6167,21.21,85,26,5.47,RE,1689613923
306,claveria,18.6074,121.0832,26.92,85,100,1.22,PH,1689613924
307,ambon,-3.6954,128.1814,27.91,61,40,4.12,ID,1689613079
308,mwene-ditu,-7.0,23.45,25.55,29,0,1.33,CD,1689613376
309,egilsstadir,65.2653,-14.3948,11.95,58,75,2.57,IS,1689613924
310,plainview,40.7765,-73.4673,32.66,69,40,1.34,US,1689613694
311,fisterra,42.9049,-9.2629,27.08,73,0,10.78,ES,1689613925
312,shantou,23.3681,116.7148,25.74,96,100,3.05,CN,1689613930
313,sandnessjoen,66.0217,12.6316,15.29,82,75,7.2,NO,1689613930
314,sulejow,51.3544,19.8854,21.32,73,86,3.66,PL,1689613930
